number;serial number;Sensitivity S0;Correction factor Sc
1;003066-C05;17.21;0.0215
2;003066-C07;21.09;0.0264
3;003066-C08;17.70;0.0221
4;003066-C11;17.93;0.0224
5;003066-C13;20.28;0.0254
6;003066-C14;17.65;0.0221
7;003066-D01;16.32;0.0204
8;003066-D03;17.75;0.0222
9;003066-D04;18.86;0.0236
10;003066-D07;18.44;0.0231
11;003066-D08;17.69;0.0221
12;003066-D11;16.28;0.0204
13;003066-D12;19.94;0.0249
14;003066-D13;19.92;0.0249
15;003066-D14;16.17;0.0202
16;003066-D16;16.62;0.0208
17;003066-E01;17.23;0.0215
18;003066-E02;19.63;0.0245
19;003066-E03;19.88;0.0248
20;003066-E04;16.39;0.0205
21;003066-E05;19.77;0.0247
22;003066-E06;16.72;0.0209
23;003066-E07;18.15;0.0227
24;003066-E012;19.94;0.0249
25;003066-E013;19.36;0.0242
